MEM = MEAN
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
972.16,-999.00,32.78,17.36,174.43,9.64,-999.00
969.95,344.28,32.60,16.14,175.60,9.54,-0.32
962.10,418.12,31.83,15.79,176.42,11.14,-0.31
951.55,518.67,30.82,15.58,176.94,11.86,-0.30
938.39,646.56,29.56,15.35,177.26,12.27,-0.29
922.15,807.09,27.99,15.05,177.46,12.57,-0.28
901.44,1010.64,25.97,14.60,177.54,12.79,-0.26
876.40,1259.28,23.37,14.74,176.25,12.96,-0.24
851.35,1513.91,20.47,14.68,178.89,12.77,-0.22
824.73,1756.11,19.48,6.58,193.68,11.89,-0.20
801.40,2003.87,19.87,-2.17,205.11,11.92,-0.18
776.64,2258.21,19.38,-6.45,212.84,12.29,-0.17
744.49,2635.88,17.56,-9.00,216.98,12.80,-0.15
702.25,3132.93,14.58,-17.30,222.65,12.66,-0.12
662.80,3628.54,10.54,-14.98,235.08,10.52,-0.10
625.07,4122.05,6.30,-12.53,241.87,9.03,-0.09
588.62,4613.49,1.95,-10.91,249.75,8.88,-0.07
553.15,5103.05,-2.54,-11.03,245.75,9.68,-0.06
519.56,5591.18,-6.46,-12.25,235.23,9.99,-0.05
488.20,6078.58,-9.32,-18.71,230.73,9.08,-0.04
458.19,6565.54,-12.43,-29.42,230.77,10.06,-0.03
429.77,7051.70,-16.19,-33.20,225.39,14.30,-0.03
403.20,7536.46,-20.14,-31.29,229.30,15.81,-0.02
377.79,8019.52,-24.22,-30.99,248.20,15.66,-0.02
353.52,8501.21,-27.93,-35.82,249.15,16.90,-0.02
330.08,8982.38,-31.53,-41.37,235.89,17.99,-0.01
307.59,9463.93,-35.03,-46.14,233.12,17.59,-0.01
286.01,9946.46,-38.67,-49.52,240.79,17.43,-0.01
265.45,10429.94,-42.80,-53.07,250.66,18.38,-0.01
246.70,10913.61,-46.88,-57.80,263.00,18.43,-0.01
229.59,11396.48,-50.88,-61.35,269.50,19.70,-0.00
213.62,11878.07,-54.70,-64.90,268.34,20.57,-0.00
198.58,12359.34,-57.68,-68.55,268.27,20.55,-0.00
183.59,12842.69,-60.31,-70.65,265.48,19.02,-0.00
169.52,13330.83,-62.00,-70.78,257.96,16.99,-0.00
156.78,13824.57,-62.26,-70.98,251.47,17.60,-0.00
144.65,14319.63,-63.32,-72.97,244.80,20.13,-0.00
133.99,14811.88,-63.75,-75.62,244.92,22.18,-0.00
123.20,15301.85,-65.08,-80.13,244.06,21.94,-0.00
112.94,15791.18,-66.30,-89.80,244.48,18.88,-0.00
104.84,16280.55,-65.05,-90.46,236.78,11.42,-0.00
97.27,16768.65,-64.88,-86.63,144.58,5.90,-0.00
89.60,17253.83,-66.66,-86.08,106.12,7.93,-0.00
82.51,17736.48,-67.72,-86.42,102.51,6.36,-0.00
76.16,18218.35,-67.56,-86.82,136.89,4.64,-0.00
70.64,18700.39,-66.33,-87.43,153.51,4.52,-0.00
65.97,19182.19,-64.08,-88.24,102.60,5.66,-0.00
61.21,19663.08,-63.38,-88.92,76.34,7.53,-0.00
56.43,20143.98,-62.97,-89.56,101.12,9.52,-0.00
51.86,20627.52,-62.01,-90.00,105.69,12.13,-0.00


MEM = 001
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
972.47,-999.00,32.65,16.90,164.63,10.26,-999.00
971.20,344.26,32.60,15.74,167.68,10.16,-0.43
963.36,418.06,31.86,15.33,167.22,12.06,-0.42
952.82,518.56,30.87,15.05,166.76,12.95,-0.41
939.67,646.38,29.63,14.76,166.21,13.48,-0.39
923.50,806.81,28.10,14.40,165.39,13.85,-0.37
902.85,1010.21,26.11,13.90,165.12,14.08,-0.35
877.90,1258.54,23.84,12.30,169.21,14.25,-0.32
853.47,1512.50,22.12,7.43,180.68,14.94,-0.30
826.74,1754.14,20.84,0.55,189.78,14.10,-0.27
803.35,2001.65,20.37,-4.12,194.94,13.45,-0.25
778.39,2255.72,19.32,-5.96,201.35,12.39,-0.23
745.44,2633.02,17.19,-7.72,210.47,11.97,-0.20
703.64,3129.73,14.48,-14.05,226.32,12.28,-0.17
664.40,3625.20,10.52,-10.97,246.52,11.55,-0.14
626.79,4118.50,6.18,-9.07,243.30,9.72,-0.12
590.50,4609.48,1.77,-7.49,241.19,10.09,-0.10
555.10,5098.41,-2.62,-8.18,243.64,12.84,-0.08
521.18,5585.82,-6.57,-10.71,235.65,13.51,-0.07
489.37,6072.47,-9.57,-16.51,227.61,12.78,-0.06
459.06,6558.94,-12.58,-24.12,228.89,13.44,-0.05
430.26,7045.32,-16.02,-26.92,228.35,16.57,-0.04
403.23,7531.20,-19.76,-27.93,235.54,16.09,-0.03
377.54,8016.03,-23.74,-28.90,257.35,15.73,-0.03
353.16,8499.87,-27.42,-33.31,257.57,17.83,-0.02
329.60,8983.29,-31.12,-39.07,245.65,19.28,-0.02
307.20,9466.92,-34.70,-46.17,243.78,18.89,-0.01
285.82,9951.06,-38.52,-51.03,247.02,18.41,-0.01
265.38,10435.55,-42.81,-54.45,253.70,18.39,-0.01
246.68,10919.86,-46.94,-57.95,265.77,18.59,-0.01
229.54,11403.25,-51.00,-60.18,273.88,20.70,-0.01
213.53,11885.37,-54.83,-64.10,275.68,20.76,-0.00
198.47,12367.16,-57.88,-69.69,268.15,19.09,-0.00
183.72,12850.85,-60.36,-71.44,255.95,17.49,-0.00
